transaction_id,step,transaction_type,amount,sender_account,sender_old_balance,sender_new_balance,recipient_account,recipient_old_balance,recipient_new_balance,is_suspicious
3590,23,PAYMENT,918.12,C905746,936195.23,935277.11,M976797,947296.96,947296.96,0
8125,21,CASH_OUT,121833.43,C483874,873210.35,751376.92,C739496,143376.57,265210,0
18666,1,CASH_OUT,123045.08,C169478,770016.03,646970.95,C403810,560227.37,683272.45,0
12043,19,PAYMENT,186131.06,C681275,603859.07,417728.01,M772550,432557.17,432557.17,0
8505,25,CASH_OUT,143401.31,C949907,220714.63,77313.32,C886189,640406.23,783807.54,0
18725,6,PAYMENT,90185.55,C771717,509159.14,418973.59,M464873,834546.73,834546.73,0
6254,2,TRANSFER,397268.02,C772789,372899,0,C642769,428585.95,825853.97,1
17245,13,TRANSFER,280417.86,C480474,821744.76,541326.9,C452577,927976.4,1208394.26,1
12332,26,CASH_OUT,113394.28,C530095,785229.43,671835.15,C879297,882695.28,996089.56,0
20199,20,TRANSFER,45489.06,C448544,64833.4,19344.34,C676981,106374.44,151863.5,0
867,25,TRANSFER,61552.7,C783440,848736.99,787184.29,C910976,627337.11,688889.81,0
11507,11,TRANSFER,381873.23,C609714,115385.81,0,C269550,136703.95,518577.18,1
12891,19,TRANSFER,329319.01,C331176,862062.99,532743.98,C636771,336489.1,665808.11,1
15979,6,TRANSFER,246881.42,C643768,301956.72,55075.3,C730811,363743.28,610624.7,1
12759,4,PAYMENT,35767.03,C687791,972457.1,936690.07,M744928,331699.41,331699.41,0
21917,14,PAYMENT,338484.3,C355970,426291.48,87807.18,M362622,455593.86,455593.86,0
9808,18,TRANSFER,438838.73,C970343,402567.87,0,C876412,450752.94,889591.67,1
5036,13,DEPOSIT,349338.77,C113785,203.17,203.17,M218459,994581.46,1343920.23,0
17519,6,PAYMENT,37123.45,C421483,380059.81,342936.36,M599173,821202.88,821202.88,0
21079,3,PAYMENT,461728.15,C826045,461940.17,212.02,M334912,685402.53,685402.53,0
20182,28,TRANSFER,66135.36,C946017,442244.69,376109.33,C285048,225460.11,291595.47,0
24662,6,CASH_OUT,176390.35,C703386,655845.36,479455.01,C504520,537064.13,713454.48,0
12147,12,PAYMENT,341168.38,C148743,309097.75,0,M529511,97509.3,97509.3,0
16542,14,CASH_OUT,64839.96,C461759,127916.92,63076.96,C253183,719177.04,784017,0
9318,9,PAYMENT,183084.02,C849231,50754.08,0,M393897,95146.94,95146.94,0
15821,14,DEPOSIT,113428.08,C648397,586770.51,586770.51,M403521,815411.17,928839.25,0
13953,5,CASH_OUT,380272.03,C228896,137607.32,0,C388834,509443.8,889715.83,1
12059,15,CASH_OUT,419522.28,C388114,381039.01,0,C433271,887157,1306679.28,1
8092,21,CASH_OUT,333018.77,C532566,465565.29,132546.52,C111772,865646.85,1198665.62,1
23590,29,PAYMENT,368952.65,C367438,884698,515745.35,M100510,580001.68,580001.68,0
24420,26,CASH_OUT,62920.05,C453176,658468.63,595548.58,C221286,670137.76,733057.81,0
7229,14,TRANSFER,37321.08,C464169,585353.35,548032.27,C126068,323667.32,360988.4,0
22666,18,CASH_OUT,51895.08,C260509,539520.93,487625.85,C539713,402375.94,454271.02,0
13339,17,TRANSFER,269791.73,C792506,906811.8,637020.07,C744586,537131.83,806923.56,1
9516,7,CASH_OUT,208211.57,C386814,194417.78,0,C579991,569271.15,777482.72,1
22390,30,CASH_OUT,35373.36,C618985,454492.66,419119.3,C850501,133326.4,168699.76,0
6550,13,PAYMENT,426005.93,C222803,691077.87,265071.94,M500648,418637.05,418637.05,0
5690,18,PAYMENT,335418.21,C323668,176589.31,0,M699970,804684.8,804684.8,0
6516,7,TRANSFER,322340.33,C543520,932217.56,609877.23,C715352,151946.81,474287.14,1
15766,24,CASH_OUT,246636.03,C185197,933349.5,686713.47,C942614,523133.42,769769.45,1
14939,19,PAYMENT,451729.74,C902401,313244.33,0,M761434,784486.52,784486.52,0
3610,8,DEPOSIT,269008.77,C219913,613075.71,613075.71,M839065,354060.62,623069.39,0
7887,16,TRANSFER,394690.58,C704187,247659.79,0,C419952,919688.25,1314378.83,1
12403,12,DEPOSIT,29114.78,C229690,2223.43,2223.43,M874824,929610.63,958725.41,0
2975,11,DEPOSIT,414588.45,C646030,554187.31,554187.31,M919482,689401.49,1103989.94,0
1916,7,TRANSFER,185037.33,C810542,458265.48,273228.15,C358155,320489.64,505526.97,0
7812,27,PAYMENT,168230.98,C897146,16902.8,0,M153726,797313.01,797313.01,0
9603,23,PAYMENT,58697.04,C411276,890697.22,832000.18,M949215,803105.22,803105.22,0
14416,13,DEPOSIT,424769.78,C198137,579676.97,579676.97,M540086,636217.82,1060987.6,0
20140,15,CASH_OUT,339430.66,C946017,685910.34,346479.68,C734169,290814.78,630245.44,1
6096,15,TRANSFER,418972.19,C639577,981933.33,562961.14,C896753,832359.31,1251331.5,1
7540,20,PAYMENT,21253.08,C725748,177242.78,155989.7,M266680,735130.19,735130.19,0
11817,17,TRANSFER,311899.1,C166087,861702.95,549803.85,C377512,588978.67,900877.77,1
10601,16,PAYMENT,281408.33,C882645,801971.2,520562.87,M314833,422006.8,422006.8,0
14799,29,TRANSFER,72399.42,C887038,915771.55,843372.13,C367379,2218.33,74617.75,0
20480,24,DEPOSIT,295353.86,C924828,114378.66,114378.66,M186047,126989.88,422343.74,0
3711,17,CASH_OUT,314089.29,C663254,631158.08,317068.79,C912502,792892.71,1106982,1
20926,20,CASH_OUT,430823.61,C942178,602467.52,171643.91,C125725,650887.84,1081711.45,1
13610,14,PAYMENT,438628.42,C304390,83921.54,0,M619707,983068.42,983068.42,0
15466,24,PAYMENT,43947.08,C249920,269196.8,225249.72,M790467,389178.86,389178.86,0
9995,22,TRANSFER,19871.07,C870430,258977.62,239106.55,C587598,566271.4,586142.47,0
7299,29,PAYMENT,432554.7,C884464,426224.6,0,M735757,793670.05,793670.05,0
19854,2,CASH_OUT,484119.82,C386400,536782.83,52663.01,C492297,204397.25,688517.07,1
6665,4,CASH_OUT,241008.53,C969690,231875.17,0,C938878,573447.66,814456.19,1
23886,12,PAYMENT,139997.29,C521725,469683.76,329686.47,M964069,735120.81,735120.81,0
1428,27,TRANSFER,257663.01,C723715,997357.35,739694.34,C276361,615875.13,873538.14,1
3078,20,PAYMENT,85460.23,C955820,739978.78,654518.55,M424385,503125.4,503125.4,0
17506,20,TRANSFER,461895.53,C762091,357528.87,0,C672144,125695.29,587590.82,1
24839,18,TRANSFER,122474.2,C200728,683441.83,560967.63,C597786,142573.14,265047.34,0
3542,15,PAYMENT,163404.72,C842288,193966.15,30561.43,M816468,13231.07,13231.07,0
8183,13,PAYMENT,218566.06,C628792,64720.35,0,M988385,516231.45,516231.45,0
9213,21,TRANSFER,261614.76,C275193,183213.2,0,C247859,392298.26,653913.02,1
1347,11,CASH_OUT,269681.81,C501931,520316.72,250634.91,C549118,23705.24,293387.05,1
9527,10,PAYMENT,111028.15,C545925,343591.11,232562.96,M131205,479035.99,479035.99,0
4373,12,PAYMENT,65767.96,C644998,837833.68,772065.72,M547649,689722.39,689722.39,0
1890,6,TRANSFER,229994.56,C646762,751889.79,521895.23,C370298,254388.81,484383.37,1
24672,6,PAYMENT,204623,C548408,701507.75,496884.75,M397170,849312.03,849312.03,0
14379,21,CASH_OUT,95731.56,C272961,573881.33,478149.77,C527647,334771.38,430502.94,0
7199,29,CASH_OUT,461342.46,C891868,887390.33,426047.87,C566679,834731.88,1296074.34,1
4895,15,PAYMENT,29746.18,C905015,737321.99,707575.81,M840812,478858.08,478858.08,0
2906,20,PAYMENT,305075.42,C305378,641786.3,336710.88,M380226,919764.63,919764.63,0
6663,26,DEPOSIT,481297.18,C603952,224932.09,224932.09,M698544,545913.24,1027210.42,0
9810,28,PAYMENT,492859.25,C806830,420143.27,0,M802645,930389.81,930389.81,0
5419,15,TRANSFER,426688.44,C871512,659930.05,233241.61,C920022,984647.86,1411336.3,1
3548,1,CASH_OUT,248606.53,C138789,965047.9,716441.37,C943004,972222.94,1220829.47,1
12725,26,PAYMENT,399308.05,C485797,449352.86,50044.81,M435660,911167.28,911167.28,0
13554,26,PAYMENT,478972.34,C428311,812750.28,333777.94,M259844,919350.78,919350.78,0
24372,30,PAYMENT,403887.59,C388571,557424.47,153536.88,M891007,692201.87,692201.87,0
11128,6,PAYMENT,325916.55,C934722,916137.35,590220.8,M380504,129742.66,129742.66,0
17605,15,CASH_OUT,114642.88,C487523,336840.69,222197.81,C309773,112434.81,227077.69,0
4745,10,TRANSFER,142539.37,C305947,800168.92,657629.55,C221784,261070.46,403609.83,0
18973,14,DEPOSIT,32360.41,C849260,757835.46,757835.46,M436618,391386.48,423746.89,0
1476,23,PAYMENT,47425.36,C926706,909676.92,862251.56,M590850,251318.97,251318.97,0
21162,4,DEPOSIT,377591.26,C270037,729225.61,729225.61,M988689,391452.62,769043.88,0
537,26,PAYMENT,499087.39,C410483,929070.91,429983.52,M584284,379022.2,379022.2,0
16452,27,CASH_OUT,476103.63,C934181,487464.99,11361.36,C983895,587130.3,1063233.93,1
16428,23,PAYMENT,405845,C386400,85128.22,0,C492297,881119.26,881119.26,0
15253,9,CASH_OUT,251393.84,C539672,352195.99,100802.15,C228695,994056.86,1245450.7,1
22276,29,PAYMENT,271824.16,C839931,102331.6,0,M701984,302330.08,302330.08,0
18873,14,PAYMENT,483631.94,C618554,622157.85,138525.91,M824325,603921.3,603921.3,0
2886,17,PAYMENT,487448.6,C482262,368230.19,0,M296037,773070.81,773070.81,0
14588,23,PAYMENT,52317.95,C547567,1864.41,0,M251640,294878.26,294878.26,0
2843,12,CASH_OUT,204705.72,C409052,747268.99,542563.27,C740743,455163.25,659868.97,1
13978,1,PAYMENT,265624.56,C676576,197127,0,M884193,927533.9,927533.9,0
24635,3,TRANSFER,321991.77,C977304,329684.67,7692.9,C885610,832301.01,1154292.78,1
7118,6,PAYMENT,476746.36,C353282,966655.02,489908.66,M275413,271528.58,271528.58,0
19070,27,TRANSFER,434633.97,C355662,639593.9,204959.93,C932441,172322.36,606956.33,1
10762,22,PAYMENT,136080.48,C816578,855391.16,719310.68,M497821,640553.85,640553.85,0
10841,17,TRANSFER,393192.53,C995879,443772.99,50580.46,C367098,926172.74,1319365.27,1
21480,18,CASH_OUT,188215.25,C808835,600055.37,411840.12,C242658,374731.58,562946.83,0
13621,24,PAYMENT,274535.26,C152818,941429.25,666893.99,M555000,791471.47,791471.47,0
21394,2,PAYMENT,326688.83,C328228,608899.35,282210.52,M965068,111606.97,111606.97,0
7304,10,PAYMENT,307591.75,C633604,284722.43,0,M531318,687658.14,687658.14,0
5326,27,CASH_OUT,472747.04,C166247,650718.13,177971.09,C361736,26445.6,499192.64,1
24697,27,CASH_OUT,216692.52,C590526,57637.96,0,C773590,855671.61,1072364.13,1
3674,25,PAYMENT,374955.61,C192384,836297.77,461342.16,M819183,211523.1,211523.1,0
16675,11,CASH_OUT,28446.23,C877552,591440.69,562994.46,C656946,777982.99,806429.22,0
12366,24,PAYMENT,228443.3,C188336,272446.15,44002.85,M717537,47353,47353,0
8275,11,TRANSFER,442185.29,C554306,599163.34,156978.05,C956459,494643.99,936829.28,1
960,5,TRANSFER,93772.15,C434066,419694.92,325922.77,C433018,870327.59,964099.74,0
12397,19,PAYMENT,496306.25,C931432,368327.4,0,M830131,381263.71,381263.71,0
1819,22,TRANSFER,84752.44,C165708,671527.79,586775.35,C903702,869200.09,953952.53,0
14280,26,CASH_OUT,482114.21,C644261,790076.46,307962.25,C936198,69042.3,551156.51,1
17918,9,PAYMENT,399567.2,C737564,457733.77,58166.57,M204919,184811.83,184811.83,0
5077,20,PAYMENT,259937.02,C645301,373507.63,113570.61,M289508,528076.55,528076.55,0
16791,12,PAYMENT,175872.84,C959697,499447.24,323574.4,M707428,674453.41,674453.41,0
1748,29,TRANSFER,434295.88,C952571,742162.86,307866.98,C433975,680887.26,1115183.14,1
324,26,DEPOSIT,234278.79,C778627,511519.56,511519.56,M737559,848752.47,1083031.26,0
10297,2,PAYMENT,29455.83,C588681,789866.17,760410.34,M364203,545515.92,545515.92,0
12751,10,CASH_OUT,287456.72,C620225,265891.13,0,C385219,104134.15,391590.87,1
10013,3,CASH_OUT,453250.07,C925367,969630.43,516380.36,C758713,750712.64,1203962.71,1
19763,16,PAYMENT,1364.03,C117704,521524.71,520160.68,M653034,928156.37,928156.37,0
22708,19,PAYMENT,158291.1,C688892,388919.23,230628.13,M506175,363841.86,363841.86,0
3785,26,DEPOSIT,371256.3,C356515,318223.08,318223.08,M769793,476005.48,847261.78,0
20799,6,TRANSFER,135877.53,C115380,602574.31,466696.78,C272999,963714.87,1099592.4,0
23769,19,TRANSFER,101266.43,C912494,238949.6,137683.17,C166394,678993.52,780259.95,0
8484,29,PAYMENT,349077.35,C594599,73197.01,0,M923076,504064.96,504064.96,0
24717,26,TRANSFER,195265.42,C166780,118552.83,0,C849577,973283.07,1168548.49,0
13837,26,PAYMENT,45164.67,C346694,209136.6,163971.93,M775955,284144.68,284144.68,0
2282,11,TRANSFER,188517.36,C541905,179166.87,0,C205652,567277.37,755794.73,0
13515,6,PAYMENT,345819.97,C691503,436208.18,90388.21,M851771,561283.11,561283.11,0
21715,8,CASH_OUT,409444.73,C235077,682456.46,273011.73,C899322,110990.14,520434.87,1
24102,3,PAYMENT,81375.97,C821994,100598.85,19222.88,M816345,358680.3,358680.3,0
19000,2,TRANSFER,482756.23,C545767,4672.07,0,C824749,626307.8,1109064.03,1
10463,11,PAYMENT,460685.08,C832364,327048.42,0,M698144,67220.49,67220.49,0
24826,10,CASH_OUT,23559.29,C949588,580376.27,556816.98,C533357,876416.18,899975.47,0
6816,13,PAYMENT,311676.14,C478524,842769.84,531093.7,M472214,145852.95,145852.95,0
16799,23,PAYMENT,453681.28,C812172,455869.83,2188.55,M364818,406634.35,406634.35,0
7956,20,PAYMENT,33324.89,C604607,882953,849628.11,M824836,379134.36,379134.36,0
4294,17,TRANSFER,217617.6,C594312,564917.75,347300.15,C318857,107659.84,325277.44,1
6245,27,PAYMENT,320802.14,C877345,584774.98,263972.84,M160914,126617.1,126617.1,0
22932,7,CASH_OUT,229215.47,C545169,266729.88,37514.41,C480722,217878.34,447093.81,1
4520,28,PAYMENT,372443.69,C591824,416905.86,44462.17,M167933,573362.81,573362.81,0
15260,18,CASH_OUT,117297.24,C656840,568162.21,450864.97,C858732,89561.3,206858.54,0
20015,9,TRANSFER,364105.25,C264712,155924.27,0,C756956,691016.95,1055122.2,1
3844,2,TRANSFER,345834.7,C249740,594825.54,248990.84,C545155,1523.89,347358.59,1
23909,28,PAYMENT,345173.7,C386400,979.81,0,C492297,667794.64,667794.64,0
22928,2,TRANSFER,342004.18,C972386,778161.75,436157.57,C318111,655209.54,997213.72,1
2852,15,PAYMENT,128408.92,C832531,821361.79,692952.87,M559348,226262.32,226262.32,0
12571,17,CASH_OUT,113478.93,C902239,140934.94,27456.01,C394051,56317.33,169796.26,0
13074,11,PAYMENT,470470,C518555,808302.67,337832.67,M306388,463384.12,463384.12,0
5816,25,TRANSFER,205351.71,C708721,410548.35,205196.64,C227547,349593.26,554944.97,1
12592,1,PAYMENT,113942.94,C114732,389243.52,275300.58,M823857,188033.28,188033.28,0
8158,17,CASH_OUT,383867.47,C270442,781793.53,397926.06,C272996,970818.99,1354686.46,1
9154,1,DEPOSIT,449483.26,C936963,683171.26,683171.26,M795926,60608.64,510091.9,0
6380,5,DEPOSIT,486988.03,C214379,241296.78,241296.78,M871237,644503.7,1131491.73,0
15444,29,PAYMENT,454739.25,C556162,888212.01,433472.76,M856825,645314.78,645314.78,0
398,3,TRANSFER,159665.97,C687559,427493.87,267827.9,C177585,920271.2,1079937.17,0
6879,30,TRANSFER,83271.01,C147308,509133.93,425862.92,C843739,956277.03,1039548.04,0
21804,5,PAYMENT,170749,C504782,632162.62,461413.62,M486023,988667.22,988667.22,0
1202,26,CASH_OUT,377586.74,C218409,879795.21,502208.47,C616482,10738.98,388325.72,1
6385,16,TRANSFER,247623.54,C515349,269761.33,22137.79,C364551,933899.7,1181523.24,1
8551,17,TRANSFER,222259.82,C855786,421347.23,199087.41,C643028,504395.51,726655.33,1
517,8,TRANSFER,189984.26,C791794,291673.75,101689.49,C801485,673633.35,863617.61,0
3589,19,TRANSFER,230583.44,C292739,224297.97,0,C650728,277158.55,507741.99,1
2251,27,TRANSFER,374053.8,C501699,388211.1,14157.3,C140094,885782.36,1259836.16,1
18162,4,DEPOSIT,200119.69,C802591,324006.38,324006.38,M409339,419869.7,619989.39,0
1458,2,PAYMENT,456686.51,C528580,299665.5,0,M802969,364964.1,364964.1,0
4557,27,CASH_OUT,232144.69,C446149,877301.13,645156.44,C490874,766514.46,998659.15,1
7517,20,PAYMENT,494193.8,C114276,887992.31,393798.51,M622227,710834.99,710834.99,0
20976,10,CASH_OUT,490845.3,C877773,982458.47,491613.17,C915548,663008.59,1153853.89,1
18689,24,PAYMENT,461455.21,C582333,700303.86,238848.65,M309887,171713.04,171713.04,0
13759,30,TRANSFER,136074.74,C362358,5744.03,0,C859266,741205.26,877280,0
3352,10,PAYMENT,349026.04,C758077,89818.94,0,M361669,948242.08,948242.08,0
19138,17,PAYMENT,81483.16,C251652,347823.93,266340.77,M604001,868194.08,868194.08,0
2169,13,CASH_OUT,337218.27,C915127,563512.08,226293.81,C568486,918643.56,1255861.83,1
22512,6,CASH_OUT,136500.15,C915238,284866.67,148366.52,C835054,204449.33,340949.48,0
5475,5,TRANSFER,392840.94,C294347,558707.41,165866.47,C339393,239791.17,632632.11,1
12137,22,PAYMENT,120811.01,C528999,799976.44,679165.43,M301948,77881.87,77881.87,0
6600,25,CASH_OUT,279084.91,C657796,776985.46,497900.55,C895930,311409.79,590494.7,1
17356,28,CASH_OUT,178429.29,C746103,58706.63,0,C792973,418204.12,596633.41,0
3190,20,DEPOSIT,155978.67,C293697,828505.15,828505.15,M763403,718300.18,874278.85,0
1057,27,TRANSFER,211162.72,C849623,730369.66,519206.94,C624201,628604.93,839767.65,1
16812,30,CASH_OUT,102012.8,C606913,513413.01,411400.21,C669252,243290.75,345303.55,0
20028,25,DEPOSIT,243355.97,C486523,213377.82,213377.82,M585217,855781.22,1099137.19,0
13170,11,DEPOSIT,41209.98,C173585,222008.79,222008.79,M958483,709631.66,750841.64,0
10773,20,PAYMENT,71557.78,C407357,146169.42,74611.64,M494166,146632.34,146632.34,0
8241,6,PAYMENT,351909.12,C417110,820609.55,468700.43,M518900,683016.1,683016.1,0
4521,3,TRANSFER,352741.82,C949316,717003.31,364261.49,C525455,400955.56,753697.38,1
5099,21,PAYMENT,270429.12,C668650,587748.39,317319.27,M364720,889977.96,889977.96,0
13366,16,DEPOSIT,117365.21,C847085,619640.97,619640.97,M855948,220028.73,337393.94,0
14418,14,PAYMENT,345062.24,C166476,638046.06,292983.82,M344488,318705.79,318705.79,0
15795,5,PAYMENT,438007.77,C751559,104963.49,0,M364359,819386.3,819386.3,0
24239,8,CASH_OUT,446718.36,C755274,118200.21,0,C489827,39132.61,485850.97,1
3635,24,CASH_OUT,427795.1,C952755,643316.4,215521.3,C193901,818078.17,1245873.27,1
7842,20,PAYMENT,417121.76,C737014,150612.55,0,M141646,619962.38,619962.38,0
19588,4,PAYMENT,211648.27,C386297,925654.53,714006.26,M321069,299191.99,299191.99,0
23285,3,CASH_OUT,442635.13,C601642,498327.48,55692.35,C332352,912812,1355447.13,1
853,28,PAYMENT,451699.37,C527445,724205.82,272506.45,M973286,726932.3,726932.3,0
20729,19,CASH_OUT,421391.65,C138045,560014.77,138623.12,C415231,80034.95,501426.6,1
18009,18,CASH_OUT,352235.27,C837299,463063.24,110827.97,C267599,0,0,1
12432,25,TRANSFER,122973.13,C974238,345614.61,222641.48,C802512,939646.69,1062619.82,0
6070,18,CASH_OUT,440297.72,C465877,676179.09,235881.37,C513678,476027.93,916325.65,1
24527,18,CASH_OUT,23755.64,C403566,982162.39,958406.75,C904037,365353.17,389108.81,0
6875,12,TRANSFER,253560.48,C209202,194924.36,0,C188509,486765.33,740325.81,1
24186,8,TRANSFER,413380.48,C106088,177359.54,0,C709468,252650.62,666031.1,1
24556,26,TRANSFER,323725.03,C621383,748942.65,425217.62,C518794,608628.59,932353.62,1
5118,19,CASH_OUT,452487.6,C766224,644561.89,192074.29,C194588,125262.33,577749.93,1
19635,6,TRANSFER,345965.32,C955496,879139.7,533174.38,C438193,848265.99,1194231.31,1
15667,21,TRANSFER,488001.67,C882004,762695.98,274694.31,C857443,225677.03,713678.7,1
2560,15,CASH_OUT,456102.02,C869820,467392.46,11290.44,C231057,514598.72,970700.74,1
23920,7,TRANSFER,273923.2,C635060,297622.57,23699.37,C538374,791566.29,1065489.49,1
2749,30,PAYMENT,322451.26,C653119,593014.96,270563.7,M865815,953975.71,953975.71,0
11989,13,CASH_OUT,321351.85,C430906,487964.68,166612.83,C993343,361667.47,683019.32,1
18928,13,DEPOSIT,60255.69,C105966,510265.1,510265.1,M144647,727863.22,788118.91,0
6211,4,DEPOSIT,260658.17,C729010,659607.4,659607.4,M434167,20524.18,281182.35,0
9943,8,DEPOSIT,308600.76,C376943,841057.86,841057.86,M228725,622521.58,931122.34,0
